air_rifle_1v_10m
6.412793,-177;6.631888,-160
6.526889,-120;6.764466,-45
6.012171,-200;5.273450,-99
4.064286,-181;4.779182,-171
6.552201,-107;4.163691,-105
7.816608,-216;7.865179,-145
3.428809,-167;7.949093,-140
6.355179,-100;4.618035,4
4.859610,-196;9.350163,-11
7.404915,-116;3.328127,-27
6.740399,-265;2.581461,-128
5.148740,-184;8.616292,-141
5.926884,-149;4.887379,-109
0.613167,-251;5.852544,-67
5.877899,-146;4.249396,0
7.539196,-208;5.155186,-116
7.007418,-201;8.500000,-90
5.226666,-134;3.443477,-50
5.872923,-202;7.270277,-58
8.027316,-69;5.523984,-114

