sc_carbine_5v_12m
8.341164,-11;8.774181,-55;7.429805,-16;8.590090,18;7.683333,46
9.191667,0;8.791667,-136;7.918560,22;9.622692,-83;9.403424,-245
8.428652,-85;6.016454,-8;9.335102,-240;9.290442,-49;7.729645,-227
9.498267,-131;6.407956,3;5.996309,29;7.778733,-256;8.705648,33
9.072323,-27;9.646447,-225;8.496510,24;8.458333,-163;8.763265,26
8.159450,78;8.390194,-152;8.088322,-12;6.347565,38;5.828128,-55
5.206703,-1;8.351663,-12;8.851390,-244;8.788797,-243;6.881941,41
4.698500,-23;7.694737,-83;8.485602,5;9.439777,-77;9.447814,-200

