sc_carbine_5v_12m
5,504246,34;7,501256,-263;6,684163,84;6,826488,86;7,229872,64
8,183314,-36;9,419650,68;9,868238,-251;9,813661,-243;7,261070,76
5,717242,19;8,749306,-29;6,215666,28;8,113461,-263;6,291433,62
5,399786,-204;7,055785,63;8,254967,-213;6,174601,-237;8,127316,-212
8,036355,72;7,788720,56;7,389591,-245;9,813661,-26;6,450000,-233
7,695114,49;8,899180,-209;6,798167,-18;6,447565,-207;9,209431,71
8,019189,22;8,080563,-248;7,901903,63;6,637653,50;7,277410,-238
5,285587,-243;9,882149,45;8,019189,75;5,915040,-234;7,511935,-251

