sc_pistol_1v_10m
7.580621,-257;6.992807,-78;7.258853,-70;6.126021,-141;1.020023,-173
2.435820,-267;4.342444,-249;8.478295,-201;8.493584,-112;5.097095,-150
5.492719,-189;5.438876,-232;2.453791,61;9.547811,47;6.330474,-29
2.015399,-176;7.765044,-207;8.390566,-189;4.878859,18;3.054345,-116
2.116541,-137;3.639435,-117;7.967661,-169;8.866204,-149;9.213835,-212
8.820834,-195;8.519155,23;6.836503,-110;5.635500,-46;5.875678,-151
9.481068,-74;7.984436,-97;7.110978,-89;8.303962,-58;8.680044,-8
3.021231,-260;7.431020,-267;8.090378,-220;8.387931,-88;7.338112,-9

