sc_carbine_5v_12m
8.766076,-258;7.754052,19;8.719959,-28;7.689847,-230;9.775618,-167
6.652729,-44;8.367935,-202;9.028753,13;6.644604,-155;7.123793,-38
8.647918,56;7.398585,-211;8.397051,52;8.266947,-80;8.399306,-53
9.132973,-234;7.613928,13;7.556968,1;8.993080,-204;8.866544,36
8.203978,3;8.266947,-117;6.693558,20;7.275370,-66;5.741634,-16
9.055872,-33;8.429327,64;8.404651,49;7.943084,-186;9.262841,-222
8.497687,-86;9.539777,-5;9.009595,10;8.049231,-31;7.329805,70
9.891667,-90;8.661444,-169;8.692304,-112;6.347328,-11;8.110757,-242

