air_rifle_1v_10m
8.196531,-163;4.952646,-133
2.636426,-185;3.363619,-189
5.398521,-234;9.283140,-125
8.072357,-255;5.271698,-68
2.664773,-91;5.285955,8
2.309989,-149;3.691455,-259
2.164894,-181;3.247943,77
4.952646,-223;5.297016,-150
3.407472,-165;5.649731,-126
9.514087,-120;8.133263,-126
7.229872,-133;7.894451,-3
4.401141,-184;8.227316,-69
5.399228,94;5.745757,17
7.565516,-152;5.880190,-92
7.049561,-164;4.560811,-235
9.296534,-4;3.620780,-109
6.928345,-140;8.186159,-114
4.755294,-197;8.022072,-17
6.625257,-202;7.796531,-188
6.826761,-256;7.126510,-119

