sc_carbine_5v_12m
8.707661,-268;9.606917,-32;6.955766,-59;7.452875,-3;8.533754,28
8.414173,-219;9.228145,-209;8.868077,-16;8.134282,25;7.741505,-57
7.368395,-150;9.042031,-119;9.272323,-113;7.110243,-257;7.898000,-219
8.479279,-223;5.848360,-190;7.389591,-204;9.074850,-125;6.701747,-206
4.718678,-170;7.987453,62;7.726588,-153;8.251625,-106;8.866016,-194
9.362623,-101;9.410744,8;9.356733,85;8.899968,-155;7.558319,-154
8.192416,-64;8.449032,-190;7.954510,-213;8.038447,-261;7.008232,-232
8.110703,48;8.061716,-154;7.907955,-181;9.190980,78;6.452211,-167

