air_rifle_1v_10m
4.493689,-247;4.652567,-107
7.825455,-175;6.948894,-259
5.623406,-90;8.673769,-204
4.949477,-197;6.729343,-205
7.582513,-247;8.391654,-137
3.963003,-154;5.247384,-171
7.399469,-154;6.159211,-48
9.469913,-59;5.512753,-63
6.571767,-214;3.572230,-146
5.914145,-214;3.831886,-154
7.089489,-183;5.397482,-38
7.274243,-153;8.653566,-176
4.447530,-205;4.342636,-74
3.496876,-128;7.934701,-117
7.820012,-184;7.224666,-211
5.883505,-185;3.821759,-39
7.948099,-238;7.900000,-90
4.919874,-205;8.582271,84
8.234701,-226;5.298648,-51
8.206208,-147;5.392889,-42

