sc_pistol_1v_10m
6.804978,64;8.816574,-137;7.505107,-129;7.235797,-119;7.043925,-129
6.395807,-192;7.032727,25;9.370780,-39;8.742857,-90;7.571261,-90
6.946063,79;9.079929,-233;7.667619,-59;7.685714,-90;3.488149,-122
9.909649,-251;8.794232,-216;7.085714,-90;6.685591,-90;7.022498,-131
3.277695,76;4.221998,-259;8.543137,48;8.654410,3;6.521319,-47
2.511832,-262;7.068120,-232;7.223716,-203;7.857143,0;6.479216,-128
6.620107,-252;5.803889,49;5.999592,-179;6.035978,-148;3.694965,-60
2.727687,-254;4.532097,-183;7.501021,-120;8.378461,14;6.552197,34

