air_rifle_1v_10m
4.0,-212;7.054711,-121
5.181568,-160;8.559231,-110
7.880626,-239;6.622120,-77
5.932355,-252;8.814690,-94
6.865760,-81;9.344445,-33
7.743772,-92;9.304649,-113
8.557072,-212;9.267067,-97
4.397246,-181;8.234865,78
3.411580,-159;7.284485,70
5.460914,-147;8.175121,71
4.327826,-96;8.361113,-176
6.572727,-180;8.508980,-37
3.502981,-164;8.530666,-8
4.617905,-142;8.531131,60
5.841804,-253;8.653566,-186
8.157072,-159;7.565162,-113
4.264090,-184;8.309299,-113
6.0,-241;9.264034,-150
8.0,-199;8.235941,-138
4.832336,-141;7.318665,-98

