sc_carbine_1v_12m
6.629817,-223;7.334255,-205;5.190659,-219;9.828501,-149;6.173644,-219
7.866684,11;7.333243,-186;8.228933,-125;7.990937,-252;6.630844,-225
5.264341,-180;7.225300,-184;6.205768,-179;8.180983,-247;7.168974,-265
7.531338,-248;5.234931,-179;4.082166,-186;7.978489,8;6.750699,-189
3.909208,-218;5.253758,-187;1.816550,-207;6.553423,-242;6.606030,-203
6.862439,-263;6.083705,-247;6.158864,-220;5.423529,-211;5.727087,-176
6.311783,-246;9.091562,-150;7.649818,-224;5.629711,-184;7.294118,-180
4.149128,-246;5.761189,-219;8.234314,-240;5.905856,-248;4.142996,-236

