air_pistol_1v_10m
4.141255,-200;7.056588,-181;8.080391,-175;6.285604,0;3.430559,64
7.656969,74;2.512923,88;1.527716,78;9.046382,-188;8.737027,-37
2.370573,-269;5.553401,84;5.348557,52;6.495950,35;9.556452,14
5.166613,68;4.196144,52;9.142857,-216;7.495473,-145;7.573446,-77
6.353587,-212;6.473309,-229;5.010133,85;8.466696,-243;6.561918,-111
9.022707,-164;8.360438,67;6.737723,-72;5.627078,-75;4.206126,-32
4.422714,-143;6.784603,-255;1.368701,85;5.642787,63;5.462987,40
5.698695,-250;4.180259,-99;7.722873,-72;7.331973,-46;6.570979,0

