sc_pistol_1v_10m
4.372199,65;6.314286,-178;8.329610,-102;6.359637,-53;4.527844,-80
6.413062,-251;7.033933,76;5.842194,-188;8.838643,-103;5.221647,-146
8.809219,30;8.085714,-180;6.971429,-90;5.129430,-31;-0.974590,-140
6.884535,-215;7.582040,-215;6.416250,35;4.916855,8;8.617603,18
7.214469,-190;8.341380,-137;7.939289,-106;9.556452,14;4.504176,-135
6.899901,-250;8.742533,-268;8.319378,-107;6.384839,-109;3.142798,-89
6.656654,-179;7.968212,-154;7.422015,-110;9.318465,-236;7.207083,-20
8.260659,75;8.341290,-136;6.513232,-33;5.024550,-76;5.080236,-115

